elapsed_s,map_x,map_y,yaw,linear_cmd,angular_cmd,segment
3.0538847590000273,-6.0,7.0,0.0,0.18,0.02499999999999858,0
3.1039402879999898,-6.0,7.0,0.0,0.18,0.02499999999999858,0
3.153934810999999,-5.999203681945801,7.0,0.00023442904057446867,0.18,0.02453114191884964,0
3.203993823000019,-5.993143558502197,7.000000476837158,0.00037748017348349094,0.18,0.02424408597871519,0
3.254072698000016,-5.9845428466796875,7.000006198883057,0.0014694372657686472,0.18,0.022048727702348003,0
3.3039114509999763,-5.97495174407959,7.000023365020752,0.002785507822409272,0.18,0.01938225431367613,0
3.353978122000001,-5.964951515197754,7.000054836273193,0.004077259451150894,0.18,0.016735808551310072,0
3.403958228000022,-5.964951515197754,7.000054836273193,0.004077259451150894,0.18,0.016735808551310072,0
3.4540996430000064,-5.954774856567383,7.000099182128906,0.005239788442850113,0.18,0.014322058856485853,0
3.503952560000016,-5.94451904296875,7.000155448913574,0.006254974752664566,0.18,0.01217915266752101,0
3.5539519069999983,-5.9342265129089355,7.000222206115723,0.007209125906229019,0.18,0.010137335956095228,0
3.6040676449999864,-5.923914432525635,7.000298500061035,0.008058850653469563,0.18,0.008285298570989141,0
3.6540256920000047,-5.913590431213379,7.000383377075195,0.008730236440896988,0.18,0.006772772967813978,0
3.704108362999989,-5.913590431213379,7.000383377075195,0.008730236440896988,0.18,0.006772772967813978,0
3.7539859070000148,-5.903257846832275,7.00047492980957,0.009258095175027847,0.18,0.005533950030802259,0
3.8039788710000266,-5.892917633056641,7.000572204589844,0.009695354849100113,0.18,0.004464881122110853,0
3.8541048189999856,-5.882570266723633,7.000673770904541,0.010084453970193863,0.18,0.003483550250528822,0
3.90402881,-5.872216701507568,7.000779151916504,0.010397735983133316,0.18,0.0026462242007241343,0
3.9538659400000142,-5.861856460571289,7.000887393951416,0.010644737631082535,0.18,0.001935736835001478,0
4.0039997910000125,-5.861856460571289,7.000887393951416,0.010644737631082535,0.18,0.001935736835001478,0
4.0538977109999905,-5.851490020751953,7.000998020172119,0.010836427100002766,0.18,0.0013311054557547664,0
4.103966005000018,-5.841117858886719,7.001110553741455,0.0109904445707798,0.18,0.0007980033755288218,0
4.154039108999996,-5.830739498138428,7.001224994659424,0.011115852743387222,0.18,0.0003183051943764781,0
4.203907232000006,-5.82035493850708,7.001340866088867,0.011210743337869644,0.18,-0.00010321885347508442,0
4.25393402200001,-5.809964656829834,7.001457691192627,0.011269871145486832,0.18,-0.00045512467622899067,0
4.304032499000016,-5.809964656829834,7.001457691192627,0.011269871145486832,0.18,-0.00045512467622899067,0
4.353965269000014,-5.7995686531066895,7.001574993133545,0.011300865560770035,0.18,-0.0007517173886313344,0
4.404006712000012,-5.7891669273376465,7.001692295074463,0.011309925466775894,0.18,-0.0010044410824789907,0
4.453995162000012,-5.778759479522705,7.001809597015381,0.011303727515041828,0.18,-0.0012266490608467961,0
4.503960054000004,-5.768346786499023,7.001926898956299,0.01128179207444191,0.18,-0.001417382061482897,0
4.553812024000024,-5.757928371429443,7.002044200897217,0.011242691427469254,0.18,-0.001573784649373522,0
4.604081866000001,-5.757928371429443,7.002044200897217,0.011242691427469254,0.18,-0.001573784649373522,0
4.653923458999998,-5.747504234313965,7.002161502838135,0.011189762502908707,0.18,-0.0017025306820883657,0
4.703935872999978,-5.737074851989746,7.002277851104736,0.011126343160867691,0.18,-0.0018083885312094594,0
4.753939037999999,-5.726640701293945,7.00239372253418,0.011058155447244644,0.18,-0.0019037559628500844,0
4.803955287999997,-5.716200828552246,7.002509117126465,0.010982338339090347,0.18,-0.001982910931111803,0
4.853815525000016,-5.705756187438965,7.002623558044434,0.010898414999246597,0.18,-0.002043946087361803,0
4.904213905999995,-5.705756187438965,7.002623558044434,0.010898414999246597,0.18,-0.002043946087361803,0
4.953971046999982,-5.695306301116943,7.002737045288086,0.010807815939188004,0.18,-0.002089722454549303,0
5.0039292189999856,-5.684852123260498,7.00285005569458,0.010713402181863785,0.18,-0.002126915752889147,0
5.05386236999999,-5.674392223358154,7.0029616355896,0.01061660423874855,0.18,-0.0021564796566977407,0
5.104040758999986,-5.663928031921387,7.003072261810303,0.0105174221098423,0.18,-0.0021793678402914907,0
5.153981703999989,-5.653459072113037,7.003182411193848,0.010415855795145035,0.18,-0.002196533977986803,0
5.20393565400002,-5.653459072113037,7.003182411193848,0.010415855795145035,0.18,-0.002196533977986803,0
5.254045323000014,-5.642984867095947,7.003291130065918,0.010311905294656754,0.18,-0.0022060707211508657,0
5.303939931000002,-5.632506370544434,7.003398895263672,0.01020604744553566,0.18,-0.0022098854184164907,0
5.353987168000003,-5.622023582458496,7.003505706787109,0.010099236853420734,0.18,-0.00220988728106164,0
5.403955587999974,-5.611536502838135,7.0036115646362305,0.009991470724344254,0.18,-0.0022060707211508657,0
5.453919258999974,-5.60104513168335,7.003715991973877,0.009883704595267773,0.18,-0.0021993931382908727,0
5.504051616000027,-5.60104513168335,7.003715991973877,0.009883704595267773,0.18,-0.0021993931382908727,0
5.553811316000008,-5.590549468994141,7.003819465637207,0.009775463491678238,0.18,-0.0021898582577719594,0
5.604110164000019,-5.580049514770508,7.003921985626221,0.0096667455509305,0.18,-0.0021774623543038274,0
5.653964771000005,-5.569545269012451,7.004023551940918,0.009558025747537613,0.18,-0.0021631553769125844,0
5.70407312399999,-5.559036731719971,7.004123687744141,0.009449783712625504,0.18,-0.002146942913533678,0
5.753987328999983,-5.548523902893066,7.004222869873047,0.0093424953520298,0.18,-0.002130730450154772,0
5.804080714000008,-5.548523902893066,7.004222869873047,0.0093424953520298,0.18,-0.002130730450154772,0
5.853960342999983,-5.548523902893066,7.004222869873047,0.0093424953520298,0.18,-0.002130730450154772,0
5.903915777999998,-5.527485370635986,7.004417896270752,0.0091288723051548,0.18,-0.002093537151814928,0
5.953929082000002,-5.516960144042969,7.004513740539551,0.009022538550198078,0.18,-0.00207255817949914,0
6.00405815900001,-5.506431579589844,7.004608154296875,0.008916202932596207,0.18,-0.0020487144589438344,0
6.053844245999983,-5.495898723602295,7.004701614379883,0.008811775594949722,0.18,-0.0020267799496664907,0
6.10395491700001,-5.495898723602295,7.004701614379883,0.008811775594949722,0.18,-0.0020267799496664907,0
6.154122195000014,-5.4853620529174805,7.004794120788574,0.008708778768777847,0.18,-0.002005799114705553,0
6.203973566999991,-5.474822044372559,7.004885673522949,0.008605781942605972,0.18,-0.001982910931111803,0
6.253936950000025,-5.464277744293213,7.00497579574585,0.008504215627908707,0.18,-0.001960022747518053,0
6.303953915000022,-5.453730583190918,7.005065441131592,0.008403602987527847,0.18,-0.0019380882382407094,0
6.353991278000024,-5.443179130554199,7.005154132843018,0.008303944021463394,0.18,-0.0019161537289633657,0
6.403929645999995,-5.443179130554199,7.005154132843018,0.008303944021463394,0.18,-0.0019161537289633657,0
6.454009299000006,-5.432624816894531,7.005241394042969,0.008205238729715347,0.18,-0.0018932655453696157,0
6.50400915900002,-5.4220662117004395,7.0053277015686035,0.008107010275125504,0.18,-0.0018694236874594594,0
6.554164857999979,-5.411504745483398,7.005413055419922,0.008010689169168472,0.18,-0.0018474891781821157,0
6.6040285550000135,-5.40093994140625,7.005497455596924,0.007914368063211441,0.18,-0.0018236473202719594,0
6.653974791999985,-5.390371322631836,7.005580902099609,0.00781900156289339,0.18,-0.0017998073250069524,0
6.703964186999997,-5.390371322631836,7.005580902099609,0.00781900156289339,0.18,-0.0017998073250069524,0
6.754288771999995,-5.379799842834473,7.0056633949279785,0.0077255405485630035,0.18,-0.0017778709530844594,0
6.80396672400002,-5.369225025177002,7.005744934082031,0.007632557302713394,0.18,-0.0017549827694907094,0
6.854177053000001,-5.358646869659424,7.005825519561768,0.007541004568338394,0.18,-0.0017330482602133657,0
6.90402646299998,-5.348065376281738,7.0059051513671875,0.007449929136782885,0.18,-0.0017101610079421903,0
6.95382551900002,-5.3374810218811035,7.005983829498291,0.00736028328537941,0.18,-0.001688225567342272,0
7.0039839159999815,-5.3374810218811035,7.005983829498291,0.00736028328537941,0.18,-0.001688225567342272,0
7.053982096000027,-5.3268938064575195,7.006061553955078,0.007272545713931322,0.18,-0.0016681993380203153,0
7.104031641999995,-5.316303730010986,7.006138324737549,0.007185761351138353,0.18,-0.001648172177375784,0
7.153984901999991,-5.305710315704346,7.006214141845703,0.0070994533598423,0.18,-0.001627190411092272,0
7.203887511999994,-5.305710315704346,7.006214141845703,0.0070994533598423,0.18,-0.001627190411092272,0
7.2539115160000165,-5.284514904022217,7.006363391876221,0.006928745657205582,0.18,-0.0015842750668539907,0
7.303989799000021,-5.284514904022217,7.006363391876221,0.006928745657205582,0.18,-0.0015842750668539907,0
7.354064930999982,-5.2739129066467285,7.006436347961426,0.006844345945864916,0.18,-0.0015613878145828153,0
7.404303423999977,-5.263308048248291,7.006508827209473,0.006761853117495775,0.18,-0.001541360653938284,0
7.453956010000013,-5.252700328826904,7.006580352783203,0.00667983666062355,0.18,-0.001520378887654772,0
7.504024620999985,-5.242090225219727,7.006650924682617,0.00659925164654851,0.18,-0.0015003526583328153,0
7.55397396699999,-5.2314772605896,7.006721019744873,0.006520096678286791,0.18,-0.0014822328463210965,0
7.603942905999986,-5.2314772605896,7.006721019744873,0.006520096678286791,0.18,-0.0014822328463210965,0
7.653962819000014,-5.220861911773682,7.006789684295654,0.006441895384341478,0.18,-0.0014631593599929715,0
7.703958256000021,-5.2102437019348145,7.006857872009277,0.006364647299051285,0.18,-0.0014450386166586782,0
7.753978049000011,-5.199623107910156,7.006925106048584,0.006287400145083666,0.18,-0.0014250123873367215,0
7.804049147000001,-5.188999652862549,7.006991863250732,0.006211583036929369,0.18,-0.0014068925753250028,0
7.853859805000013,-5.17837381362915,7.0070576667785645,0.006136719603091478,0.18,-0.001388772763313284,0
7.903968050000003,-5.17837381362915,7.0070576667785645,0.006136719603091478,0.18,-0.001388772763313284,0
7.953943476999996,-5.167745590209961,7.00712251663208,0.006062809377908707,0.18,-0.0013706520199789907,0
8.004137803999981,-5.1571149826049805,7.0071868896484375,0.005989853758364916,0.18,-0.0013534868136062528,0
8.053968689999977,-5.1571149826049805,7.0071868896484375,0.005989853758364916,0.18,-0.0013534868136062528,0
8.104009924000025,-5.135846138000488,7.007313251495361,0.005845848936587572,0.18,-0.0013182008638992215,0
8.153931105000026,-5.125208377838135,7.007375240325928,0.005774323362857103,0.18,-0.0012991273775710965,0
8.203932354000017,-5.125208377838135,7.007375240325928,0.005774323362857103,0.18,-0.0012991273775710965,0
8.254042921000007,-5.11456823348999,7.007436752319336,0.00570470467209816,0.18,-0.0012829139828696157,0
8.304088085999979,-5.103925704956055,7.0074968338012695,0.005636516958475113,0.18,-0.0012667015194907094,0
8.353970894999975,-5.103925704956055,7.0074968338012695,0.005636516958475113,0.18,-0.0012667015194907094,0
8.404021261000025,-5.082633972167969,7.007615566253662,0.00550061883404851,0.18,-0.001232370175422659,0
8.453863171000023,-5.071984767913818,7.007674217224121,0.005432907957583666,0.18,-0.0012142503634109403,0
8.504165940999997,-5.071984767913818,7.007674217224121,0.005432907957583666,0.18,-0.0012142503634109403,0
8.554061398999977,-5.061333656311035,7.0077314376831055,0.0053666275925934315,0.18,-0.0011961305513992215,0
8.604086123999991,-5.050680160522461,7.00778865814209,0.005302254110574722,0.18,-0.0011818245053305532,0
8.654047040000023,-5.050680160522461,7.00778865814209,0.005302254110574722,0.18,-0.0011818245053305532,0
8.70392605699999,-5.029366970062256,7.007900714874268,0.005174939054995775,0.18,-0.0011513078585281278,0
8.75401012399999,-5.018707752227783,7.007955551147461,0.00511151971295476,0.18,-0.0011341417208328153,0
8.804046447000019,-5.018707752227783,7.007955551147461,0.00511151971295476,0.18,-0.0011341417208328153,0
8.853928972000006,-5.008046627044678,7.008009910583496,0.005050007253885269,0.18,-0.001119835674764147,0
8.904068934000009,-4.997383117675781,7.008063793182373,0.00498944940045476,0.18,-0.001106485165657034,0
8.95394736999998,-4.986717700958252,7.008116722106934,0.004928891081362963,0.18,-0.001091226376594534,0
9.004050396000025,-4.976050853729248,7.008169651031494,0.004869762808084488,0.18,-0.0010788276791586782,0
9.053934412999979,-4.965381622314453,7.00822114944458,0.004810635466128588,0.18,-0.0010635698214187528,0
9.103915260000008,-4.965381622314453,7.00822114944458,0.004810635466128588,0.18,-0.0010635698214187528,0
9.153942573999984,-4.954710960388184,7.008272647857666,0.004753415007144213,0.18,-0.0010521257296218778,0
9.203984099000024,-4.944038391113281,7.0083231925964355,0.004695717245340347,0.18,-0.0010378196835532094,0
9.253991203999988,-4.933363914489746,7.008373260498047,0.004638974089175463,0.18,-0.0010244691744460965,0
9.305797373000019,-4.922687530517578,7.0084228515625,0.0045822300016880035,0.18,-0.0010101631283774282,0
9.355773511999985,-4.912009239196777,7.008471488952637,0.004526916891336441,0.18,-0.0009968116879477407,0
9.405900214999974,-4.912009239196777,7.008471488952637,0.004526916891336441,0.18,-0.0009968116879477407,0
9.455793992999986,-4.901329517364502,7.008520126342773,0.004472557920962572,0.18,-0.0009853685274734403,0
9.505825243999993,-4.890647888183594,7.0085673332214355,0.004418675322085619,0.18,-0.0009720170870437528,0
9.555789182000012,-4.879964828491211,7.008614540100098,0.004364792723208666,0.18,-0.0009586656466140653,0
9.605805475000011,-4.869279861450195,7.008661270141602,0.004312340635806322,0.18,-0.0009472215548171903,0
9.655745399000011,-4.858593463897705,7.008707046508789,0.004259888548403978,0.18,-0.0009338701143875028,0
9.705727368999987,-4.858593463897705,7.008707046508789,0.004259888548403978,0.18,-0.0009338701143875028,0
9.756058506999977,-4.84790563583374,7.008752822875977,0.004208866972476244,0.18,-0.000923379696907034,0
9.805860361999976,-4.837215900421143,7.0087971687316895,0.004158322233706713,0.18,-0.0009109819307937528,0
9.855718619000015,-4.82652473449707,7.008841514587402,0.0041077774949371815,0.18,-0.0008985841646804715,0
9.905833329000018,-4.815832138061523,7.008885383605957,0.004057709593325853,0.18,-0.0008861863985671903,0
9.95578158699999,-4.805138111114502,7.008928298950195,0.004008118063211441,0.18,-0.0008728340268149282,0
